id;preferred_language;email_notifications;sms_notifications;push_notifications;phone;email
1;circa;false;false;true;363-456-7531 x92046;Rosa.Crona@yahoo.com
2;snarling;true;false;false;(869) 943-7033 x8779;Charles.Lind@hotmail.com
3;under pocket-watch whoever;false;false;true;831.733.6143 x8577;Wiley_Streich@yahoo.com
4;wretched;true;true;true;1-641-664-7990 x98046;Alivia41@yahoo.com
5;zowie zebra ick;false;true;false;1-677-447-6548;Cristobal47@hotmail.com
6;valiantly honestly;true;true;true;(543) 851-1709 x30272;Hector97@hotmail.com
7;inasmuch ascribe than;true;false;false;602-242-8346 x2704;Dorothea.Stracke45@gmail.com
8;taro independence volleyball;false;false;false;(993) 201-0271 x7352;Leann6@hotmail.com
9;hence without;true;true;true;(932) 360-0465;Tremaine90@gmail.com
10;supposing;false;true;false;779-480-6779 x0247;Craig.Kuhlman@yahoo.com
